Domain	SpendDate	SpendSum	SalesRevenue	ARank	QRank	Premium_yes	Total	STATUS
bluefinrawbar.com	2023-09-16 10:36:00	0	400	100000001	-1	1.0	47.0	Accepted
bmologistics.com	2023-07-29 07:00:00	0	0	67302122	-1	0.0	32.0	Accepted
boneandgray.com	2023-07-21 07:00:00	371	22870	100000001	-1	2.0	30.0	Accepted
boydhardmoneyloans.com	2023-09-04 20:20:00	0	0	48024103	-1	3.0	48.0	Accepted
breakouteventservices.com	2023-07-22 07:00:00	0	0	100000001	-1	0.0	16.0	Accepted
breezecohost.com	2023-07-22 07:00:00	45	0	100000001	-1	2.0	35.0	Accepted
brightlightsmediallc.com	2023-07-22 07:00:00	0	0	62160677	-1	0.0	1.0	Rejected
bromeliaswimwear.com	2023-07-22 07:00:00	868	63380	15164134	-1	5.0	72.0	Accepted
bshs.biz	2023-07-22 07:00:00	97	0	100000001	-1	2.0	12.0	Accepted
bspretirement.com	2023-07-22 07:00:00	101	0	64013410	-1	0.0	32.0	Accepted
bundyandco.com	2023-07-22 07:00:00	0	0	100000001	0	0.0	14.0	Accepted
burtonpressurewashing.com	2023-02-23 08:00:00	0	0	100000001	0	0.0	1.0	Rejected
burtonpressurewashing.com	2023-02-23 08:00:00	0	0	100000001	0	0.0	1.0	Rejected
cabinetsbyrosso.com	2022-04-26 07:00:00	0	0	100000001	0	0.0	1.0	Accepted
cabinetsbyrosso.com	2022-04-26 07:00:00	0	0	100000001	0	0.0	1.0	Accepted
californiastateguardfoundation.org	2023-07-29 22:00:00	86	5446	89803848	-1	2.0	25.0	Accepted
capitalstaffingtx.com	2023-07-30 07:00:00	169	10157	61880185	-1	1.0	33.0	Accepted
cascade-partners.com	2023-07-29 07:00:00	40	0	12000856	686061	1.0	43.0	Accepted
catilize.com	2023-07-27 07:00:00	1831	46246	59294107	-1	4.0	50.0	Accepted
celebratemediagroup.com	2023-08-01 07:00:00	31	0	35801102	-1	1.0	25.0	Accepted
centarind.com	2023-07-23 07:00:00	31	16814	8598725	-1	1.0	49.0	Accepted
centralcalpropertymanagement.com	2023-07-23 07:00:00	0	0	100000001	-1	0.0	8.0	Accepted
centraldata.com	2023-07-27 07:00:00	1264	0	16982896	-1	6.0	70.0	Accepted
centurytool.net	2023-07-15 07:00:00	423	119560	291531	56730	3.0	27.0	Accepted
cerratos-welding-llc.business.site	2023-08-01 10:55:00	0	0	0	0	0.0	12.0	Rejected
cfsfutures.com	2023-07-23 07:00:00	0	0	84120416	-1	0.0	15.0	Accepted
cgmpro.com	2023-07-23 07:00:00	0	0	100000001	0	0.0	16.0	Accepted
chadchambersautos.com	2023-07-23 07:00:00	522	0	49355242	-1	2.0	40.0	Accepted
changalawinery.com	2023-07-23 07:00:00	0	0	7254654	-1	0.0	25.0	Accepted
chaplinandhill.com	2023-07-23 07:00:00	45	0	100000001	-1	1.0	37.0	Accepted
charleshenryjames.com	2023-07-23 07:00:00	0	0	5442080	0	0.0	10.0	Accepted
charlierussell.design	2023-07-23 07:00:00	350	20433	100000001	0	1.0	23.0	Rejected
citrusvb.com	2023-07-29 07:00:00	166	0	4102531	-1	0.0	32.0	Accepted
cjccompany.com	2023-07-24 07:00:00	0	0	46590953	-1	0.0	16.0	Rejected
clarionsociety.org	2023-07-29 07:00:00	140	0	2098744	-1	0.0	27.0	Accepted
clearcreekrecreation.com	2023-07-29 07:00:00	0	0	16364876	-1	0.0	23.0	Accepted
clementinehairlounge.com	2023-07-26 22:00:00	24	0	64281382	-1	0.0	24.0	Accepted
clinejewelers.com	2023-07-29 07:00:00	1087	0	13870509	-1	3.0	41.0	Accepted
cmlaw.com	2023-07-29 07:00:00	442	0	3006707	-1	3.0	52.0	Accepted
conservaresources.com	2023-07-28 07:00:00	194	0	28702209	-1	0.0	15.0	Accepted
copronason.com	2023-07-28 22:00:00	203	0	449050	325109	0.0	12.0	Accepted
cpackmanufacturing.com	2023-07-29 07:00:00	1462	102151	100000001	-1	0.0	1.0	Accepted
