Domain,FirstIndexed,LastIndexed,SalesRevenue,SpendDate,SpendSum,CompanyName,Vertical,State,Country,ARank,QRank
rajshreemart.com,1547334000000,1688540400000,0,1549687440000,0,RajshreeMart.com,Food And Drink,CA,US,40783316,-1
rajshreemart.com,1547334000000,1688540400000,0,1663735440000,20,RajshreeMart.com,Food And Drink,CA,US,40783316,-1
rajshreemart.com,1547334000000,1688540400000,0,1688540400000,20,RajshreeMart.com,Food And Drink,CA,US,40783316,-1
mycbs.work,1613462400000,1688022000000,0,1614705060000,0,,Business And Industrial,,,100000001,-1
mycbs.work,1613462400000,1688022000000,0,1619889060000,16,,Business And Industrial,,,100000001,-1
mycbs.work,1613462400000,1688022000000,0,1688022000000,0,,Business And Industrial,,,100000001,-1
doodadswhatnots.com,1543791600000,1690354800000,14935,1546234320000,24,Doodads & Whatnots Online,Style And Fashion,FL,US,100000001,-1
doodadswhatnots.com,1543791600000,1690354800000,14935,1577338320000,0,Doodads & Whatnots Online,Style And Fashion,FL,US,100000001,-1
doodadswhatnots.com,1543791600000,1690354800000,14935,1623994320000,221,Doodads & Whatnots Online,Style And Fashion,FL,US,100000001,-1
doodadswhatnots.com,1543791600000,1690354800000,14935,1690354800000,221,Doodads & Whatnots Online,Style And Fashion,FL,US,100000001,-1
tubbisice.com,1593730800000,1677139200000,0,1595120940000,16,,Art And Entertainment,,,100000001,-1
tubbisice.com,1593730800000,1677139200000,0,1641776940000,0,,Art And Entertainment,,,100000001,-1
tubbisice.com,1593730800000,1677139200000,0,1677139200000,0,,Art And Entertainment,,,100000001,-1
resilienthha.com,1600383600000,1688454000000,0,1601851440000,0,,,,,100000001,0
resilienthha.com,1600383600000,1688454000000,0,1688454000000,0,,,,,100000001,0
ballet58.org,1345672800000,1690614000000,75089,1351421820000,0,Ballet Five Eight NFP,Art And Entertainment,IL,US,13034686,-1
ballet58.org,1345672800000,1690614000000,75089,1423997820000,16,Ballet Five Eight NFP,Art And Entertainment,IL,US,13034686,-1
ballet58.org,1345672800000,1690614000000,75089,1506941820000,219,Ballet Five Eight NFP,Art And Entertainment,IL,US,13034686,-1
ballet58.org,1345672800000,1690614000000,75089,1600253820000,839,Ballet Five Eight NFP,Art And Entertainment,IL,US,13034686,-1
ballet58.org,1345672800000,1690614000000,75089,1610621820000,1075,Ballet Five Eight NFP,Art And Entertainment,IL,US,13034686,-1
ballet58.org,1345672800000,1690614000000,75089,1615805820000,1331,Ballet Five Eight NFP,Art And Entertainment,IL,US,13034686,-1
ballet58.org,1345672800000,1690614000000,75089,1620989820000,1378,Ballet Five Eight NFP,Art And Entertainment,IL,US,13034686,-1
ballet58.org,1345672800000,1690614000000,75089,1626173820000,1218,Ballet Five Eight NFP,Art And Entertainment,IL,US,13034686,-1
ballet58.org,1345672800000,1690614000000,75089,1678013820000,1451,Ballet Five Eight NFP,Art And Entertainment,IL,US,13034686,-1
ballet58.org,1345672800000,1690614000000,75089,1688381820000,1248,Ballet Five Eight NFP,Art And Entertainment,IL,US,13034686,-1
ballet58.org,1345672800000,1690614000000,75089,1690614000000,1451,Ballet Five Eight NFP,Art And Entertainment,IL,US,13034686,-1
alphier.com,1389481200000,1689577200000,0,1394482800000,0,,,,,100000001,0
alphier.com,1389481200000,1689577200000,0,1689577200000,0,,,,,100000001,0
okcustomdetail.com,1521500400000,1688108400000,7782,1524277200000,9,okcustomdetail,Art And Entertainment,OK,US,100000001,-1
okcustomdetail.com,1521500400000,1688108400000,7782,1534645200000,24,okcustomdetail,Art And Entertainment,OK,US,100000001,-1
okcustomdetail.com,1521500400000,1688108400000,7782,1602037200000,125,okcustomdetail,Art And Entertainment,OK,US,100000001,-1
okcustomdetail.com,1521500400000,1688108400000,7782,1617589200000,115,okcustomdetail,Art And Entertainment,OK,US,100000001,-1
okcustomdetail.com,1521500400000,1688108400000,7782,1690165200000,0,okcustomdetail,Art And Entertainment,OK,US,100000001,-1
okcustomdetail.com,1521500400000,1688108400000,7782,1688108400000,115,okcustomdetail,Art And Entertainment,OK,US,100000001,-1
doodlesndanes.com,1409443200000,1690354800000,0,1414125060000,0,,Pets,CA,US,61958619,-1
doodlesndanes.com,1409443200000,1690354800000,0,1486701060000,53,,Pets,CA,US,61958619,-1
doodlesndanes.com,1409443200000,1690354800000,0,1621485060000,154,,Pets,CA,US,61958619,-1
doodlesndanes.com,1409443200000,1690354800000,0,1690354800000,154,,Pets,CA,US,61958619,-1
jnjcattleco.com,1518476400000,1690700400000,14958,1521346800000,0,N' Cattle Co,Business And Industrial,IL,US,100000001,-1
jnjcattleco.com,1518476400000,1690700400000,14958,1568002800000,189,N' Cattle Co,Business And Industrial,IL,US,100000001,-1
jnjcattleco.com,1518476400000,1690700400000,14958,1578370800000,203,N' Cattle Co,Business And Industrial,IL,US,100000001,-1
jnjcattleco.com,1518476400000,1690700400000,14958,1588738800000,24,N' Cattle Co,Business And Industrial,IL,US,100000001,-1
jnjcattleco.com,1518476400000,1690700400000,14958,1604290800000,125,N' Cattle Co,Business And Industrial,IL,US,100000001,-1
jnjcattleco.com,1518476400000,1690700400000,14958,1619842800000,227,N' Cattle Co,Business And Industrial,IL,US,100000001,-1
jnjcattleco.com,1518476400000,1690700400000,14958,1690700400000,227,N' Cattle Co,Business And Industrial,IL,US,100000001,-1
jennirudolph.com,1522710000000,1687590000000,0,1525458000000,0,,Business And Industrial,,,32796698,-1
jennirudolph.com,1522710000000,1687590000000,0,1598034000000,14,,Business And Industrial,,,32796698,-1
jennirudolph.com,1522710000000,1687590000000,0,1687590000000,0,,Business And Industrial,,,32796698,-1
jsquaredent.com,1522710000000,1687503600000,0,1525456560000,0,,,,,20489634,0
jsquaredent.com,1522710000000,1687503600000,0,1530640560000,31,,,,,20489634,0
jsquaredent.com,1522710000000,1687503600000,0,1687503600000,0,,,,,20489634,0
aresellerspassion.com,1549148400000,1689577200000,18538,1551488880000,96,A Reseller&39s Passion,Shopping,,,1865287,-1
aresellerspassion.com,1549148400000,1689577200000,18538,1556672880000,281,A Reseller&39s Passion,Shopping,,,1865287,-1
aresellerspassion.com,1549148400000,1689577200000,18538,1561856880000,122,A Reseller&39s Passion,Shopping,,,1865287,-1
aresellerspassion.com,1549148400000,1689577200000,18538,1587776880000,179,A Reseller&39s Passion,Shopping,,,1865287,-1
aresellerspassion.com,1549148400000,1689577200000,18538,1629248880000,305,A Reseller&39s Passion,Shopping,,,1865287,-1
aresellerspassion.com,1549148400000,1689577200000,18538,1649984880000,278,A Reseller&39s Passion,Shopping,,,1865287,-1
aresellerspassion.com,1549148400000,1689577200000,18538,1691456880000,0,A Reseller&39s Passion,Shopping,,,1865287,-1
aresellerspassion.com,1549148400000,1689577200000,18538,1689577200000,278,A Reseller&39s Passion,Shopping,,,1865287,-1

faintinggoatstudios.com,1498345200000,1690614000000,26749,1501549680000,0,Fainting Goat Studio,Unknown,VA,US,100000001,-1
faintinggoatstudios.com,1498345200000,1690614000000,26749,1506733680000,16,Fainting Goat Studio,Unknown,VA,US,100000001,-1
faintinggoatstudios.com,1498345200000,1690614000000,26749,1568941680000,39,Fainting Goat Studio,Unknown,VA,US,100000001,-1
faintinggoatstudios.com,1498345200000,1690614000000,26749,1667437680000,86,Fainting Goat Studio,Unknown,VA,US,100000001,-1
faintinggoatstudios.com,1498345200000,1690614000000,26749,1688173680000,420,Fainting Goat Studio,Unknown,VA,US,100000001,-1
faintinggoatstudios.com,1498345200000,1690614000000,26749,1690614000000,420,Fainting Goat Studio,Unknown,VA,US,100000001,-1
rkwallaceconsulting.com,1566774000000,1688886000000,0,1568809200000,0,RK Wallace Consulting,Unknown,CA,US,100000001,-1
rkwallaceconsulting.com,1566774000000,1688886000000,0,1688886000000,0,RK Wallace Consulting,Unknown,CA,US,100000001,-1
escobarholdings.com,1636444800000,1690268400000,28865,1637341860000,101,Escobarholdings,Business And Industrial,,,100000001,-1
escobarholdings.com,1636444800000,1690268400000,28865,1668445860000,1032,Escobarholdings,Business And Industrial,,,100000001,-1
escobarholdings.com,1636444800000,1690268400000,28865,1694365860000,0,Escobarholdings,Business And Industrial,,,100000001,-1
escobarholdings.com,1636444800000,1690268400000,28865,1690268400000,1032,Escobarholdings,Business And Industrial,,,100000001,-1

rocksourceit.com,1630047600000,1688886000000,0,1631028240000,0,ROCKSource IT Solutions,Unknown,,,100000001,-1
rocksourceit.com,1630047600000,1688886000000,0,1656948240000,45,ROCKSource IT Solutions,Unknown,,,100000001,-1
rocksourceit.com,1630047600000,1688886000000,0,1688886000000,45,ROCKSource IT Solutions,Unknown,,,100000001,-1
sportsvts.com,1457996400000,1690614000000,0,1461873360000,0,SPORTS VTS,Sports,CO,US,18362834,-1
sportsvts.com,1457996400000,1690614000000,0,1472241360000,31,SPORTS VTS,Sports,CO,US,18362834,-1
sportsvts.com,1457996400000,1690614000000,0,1534449360000,16,SPORTS VTS,Sports,CO,US,18362834,-1
sportsvts.com,1457996400000,1690614000000,0,1586289360000,39,SPORTS VTS,Sports,CO,US,18362834,-1
sportsvts.com,1457996400000,1690614000000,0,1684785360000,373,SPORTS VTS,Sports,CO,US,18362834,-1
sportsvts.com,1457996400000,1690614000000,0,1690614000000,373,SPORTS VTS,Sports,CO,US,18362834,-1
burtonpressurewashing.com,1677139200000,1677139200000,0,1677139200000,0,,,,,100000001,0
burtonpressurewashing.com,1677139200000,1677139200000,0,1677139200000,0,,,,,100000001,0
beyondbookkeeping.info,1623567600000,1689836400000,0,1624672080000,0,,,,,100000001,0
beyondbookkeeping.info,1623567600000,1689836400000,0,1689836400000,0,,,,,100000001,0
bardstownbourbon.com,1400277600000,1690700400000,0,1405117980000,0,The Bardstown Bourbon Company - A New Blend of Bourbon Makers,Food And Drink,KY,US,89508,-1
bardstownbourbon.com,1400277600000,1690700400000,0,1462141980000,165,The Bardstown Bourbon Company - A New Blend of Bourbon Makers,Food And Drink,KY,US,89508,-1
bardstownbourbon.com,1400277600000,1690700400000,0,1472509980000,196,The Bardstown Bourbon Company - A New Blend of Bourbon Makers,Food And Drink,KY,US,89508,-1
bardstownbourbon.com,1400277600000,1690700400000,0,1503613980000,222,The Bardstown Bourbon Company - A New Blend of Bourbon Makers,Food And Drink,KY,US,89508,-1
bardstownbourbon.com,1400277600000,1690700400000,0,1534717980000,312,The Bardstown Bourbon Company - A New Blend of Bourbon Makers,Food And Drink,KY,US,89508,-1
bardstownbourbon.com,1400277600000,1690700400000,0,1539901980000,1352,The Bardstown Bourbon Company - A New Blend of Bourbon Makers,Food And Drink,KY,US,89508,-1
bardstownbourbon.com,1400277600000,1690700400000,0,1560637980000,755,The Bardstown Bourbon Company - A New Blend of Bourbon Makers,Food And Drink,KY,US,89508,-1
bardstownbourbon.com,1400277600000,1690700400000,0,1571005980000,785,The Bardstown Bourbon Company - A New Blend of Bourbon Makers,Food And Drink,KY,US,89508,-1
bardstownbourbon.com,1400277600000,1690700400000,0,1576189980000,845,The Bardstown Bourbon Company - A New Blend of Bourbon Makers,Food And Drink,KY,US,89508,-1
bardstownbourbon.com,1400277600000,1690700400000,0,1596925980000,282,The Bardstown Bourbon Company - A New Blend of Bourbon Makers,Food And Drink,KY,US,89508,-1
bardstownbourbon.com,1400277600000,1690700400000,0,1607293980000,649,The Bardstown Bourbon Company - A New Blend of Bourbon Makers,Food And Drink,KY,US,89508,-1
bardstownbourbon.com,1400277600000,1690700400000,0,1612477980000,705,The Bardstown Bourbon Company - A New Blend of Bourbon Makers,Food And Drink,KY,US,89508,-1
bardstownbourbon.com,1400277600000,1690700400000,0,1617661980000,339,The Bardstown Bourbon Company - A New Blend of Bourbon Makers,Food And Drink,KY,US,89508,-1
bardstownbourbon.com,1400277600000,1690700400000,0,1622845980000,434,The Bardstown Bourbon Company - A New Blend of Bourbon Makers,Food And Drink,KY,US,89508,-1
bardstownbourbon.com,1400277600000,1690700400000,0,1628029980000,617,The Bardstown Bourbon Company - A New Blend of Bourbon Makers,Food And Drink,KY,US,89508,-1
bardstownbourbon.com,1400277600000,1690700400000,0,1633213980000,742,The Bardstown Bourbon Company - A New Blend of Bourbon Makers,Food And Drink,KY,US,89508,-1
bardstownbourbon.com,1400277600000,1690700400000,0,1638397980000,577,The Bardstown Bourbon Company - A New Blend of Bourbon Makers,Food And Drink,KY,US,89508,-1
bardstownbourbon.com,1400277600000,1690700400000,0,1653949980000,345,The Bardstown Bourbon Company - A New Blend of Bourbon Makers,Food And Drink,KY,US,89508,-1
bardstownbourbon.com,1400277600000,1690700400000,0,1664317980000,855,The Bardstown Bourbon Company - A New Blend of Bourbon Makers,Food And Drink,KY,US,89508,-1
bardstownbourbon.com,1400277600000,1690700400000,0,1674685980000,829,The Bardstown Bourbon Company - A New Blend of Bourbon Makers,Food And Drink,KY,US,89508,-1
bardstownbourbon.com,1400277600000,1690700400000,0,1679869980000,849,The Bardstown Bourbon Company - A New Blend of Bourbon Makers,Food And Drink,KY,US,89508,-1
bardstownbourbon.com,1400277600000,1690700400000,0,1685053980000,1082,The Bardstown Bourbon Company - A New Blend of Bourbon Makers,Food And Drink,KY,US,89508,-1
bardstownbourbon.com,1400277600000,1690700400000,0,1690700400000,1102,The Bardstown Bourbon Company - A New Blend of Bourbon Makers,Food And Drink,KY,US,89508,-1
langdaleaccounting.com,1537830000000,1687676400000,0,1540327440000,0,,,,,100000001,0
langdaleaccounting.com,1537830000000,1687676400000,0,1687676400000,0,,,,,100000001,0
djapartners.net,1501542000000,1690354800000,0,1504688880000,0,,,,,100000001,0
djapartners.net,1501542000000,1690354800000,0,1690354800000,0,,,,,100000001,0
oakhillsprx.com,1566774000000,1690614000000,0,1568838000000,0,,Unknown,TX,US,24028771,-1
oakhillsprx.com,1566774000000,1690614000000,0,1584390000000,917,,Unknown,TX,US,24028771,-1
oakhillsprx.com,1566774000000,1690614000000,0,1667334000000,24,,Unknown,TX,US,24028771,-1
oakhillsprx.com,1566774000000,1690614000000,0,1690614000000,24,,Unknown,TX,US,24028771,-1
lccontractinghvac.com,1602745200000,1687676400000,0,1604160720000,0,,,,,85604018,0
lccontractinghvac.com,1602745200000,1687676400000,0,1609344720000,117,,,,,85604018,0
lccontractinghvac.com,1602745200000,1687676400000,0,1687676400000,117,,,,,85604018,0
staycobblestone.com,1307570400000,1690786800000,0,1313957340000,0,Cobblestone Hotels LLC,Travel,,,2989192,69363
staycobblestone.com,1307570400000,1690786800000,0,1376165340000,467,Cobblestone Hotels LLC,Travel,,,2989192,69363
staycobblestone.com,1307570400000,1690786800000,0,1690786800000,0,Cobblestone Hotels LLC,Travel,,,2989192,69363
riazcapital.com,1434841200000,1689404400000,115567,1439083920000,0,RIAZ CAPITAL,Real Estate,California,US,14718502,-1
riazcapital.com,1434841200000,1689404400000,115567,1444267920000,16,RIAZ CAPITAL,Real Estate,California,US,14718502,-1
riazcapital.com,1434841200000,1689404400000,115567,1573867920000,39,RIAZ CAPITAL,Real Estate,California,US,14718502,-1
riazcapital.com,1434841200000,1689404400000,115567,1599787920000,140,RIAZ CAPITAL,Real Estate,California,US,14718502,-1
riazcapital.com,1434841200000,1689404400000,115567,1620523920000,662,RIAZ CAPITAL,Real Estate,California,US,14718502,-1
riazcapital.com,1434841200000,1689404400000,115567,1630891920000,1715,RIAZ CAPITAL,Real Estate,California,US,14718502,-1
riazcapital.com,1434841200000,1689404400000,115567,1656811920000,2182,RIAZ CAPITAL,Real Estate,California,US,14718502,-1
riazcapital.com,1434841200000,1689404400000,115567,1667179920000,2417,RIAZ CAPITAL,Real Estate,California,US,14718502,-1
riazcapital.com,1434841200000,1689404400000,115567,1672363920000,2462,RIAZ CAPITAL,Real Estate,California,US,14718502,-1
riazcapital.com,1434841200000,1689404400000,115567,1677547920000,2362,RIAZ CAPITAL,Real Estate,California,US,14718502,-1
riazcapital.com,1434841200000,1689404400000,115567,1689404400000,2362,RIAZ CAPITAL,Real Estate,California,US,14718502,-1

4-6-2.com,1667894400000,1668153600000,0,1667898720000,0,,,,,100000001,0
4-6-2.com,1667894400000,1668153600000,0,1668153600000,0,,,,,100000001,0
barnwoodgroup.com,1467241200000,1690614000000,0,1470964080000,0,Barnwood Group,Business And Industrial,MN,US,39287216,-1
barnwoodgroup.com,1467241200000,1690614000000,0,1610932080000,31,Barnwood Group,Business And Industrial,MN,US,39287216,-1
barnwoodgroup.com,1467241200000,1690614000000,0,1636852080000,40,Barnwood Group,Business And Industrial,MN,US,39287216,-1
barnwoodgroup.com,1467241200000,1690614000000,0,1690614000000,40,Barnwood Group,Business And Industrial,MN,US,39287216,-1
raanangroup.com,1600383600000,1688367600000,0,1601850000000,0,,Health And Fitness,CA,US,100000001,-1
raanangroup.com,1600383600000,1688367600000,0,1622586000000,30,,Health And Fitness,CA,US,100000001,-1
raanangroup.com,1600383600000,1688367600000,0,1688367600000,30,,Health And Fitness,CA,US,100000001,-1
mtl.com.vn,1537830000000,1689490800000,0,1540357680000,30,,Unknown,,VN,62381763,-1
mtl.com.vn,1537830000000,1689490800000,0,1690693680000,0,,Unknown,,VN,62381763,-1
mtl.com.vn,1537830000000,1689490800000,0,1689490800000,30,,Unknown,,VN,62381763,-1
elpbnb.com,1631602800000,1690441200000,0,1632583440000,0,,,,,100000001,0
elpbnb.com,1631602800000,1690441200000,0,1690441200000,0,,,,,100000001,0
devzero.co.uk,1362056400000,1690354800000,0,1367528040000,0,,,,,16196322,0
devzero.co.uk,1362056400000,1690354800000,0,1690354800000,0,,,,,16196322,0
denverantiques.com,1315144800000,1690268400000,23836,1321396860000,0,Antiques Etc,Shopping,CO,US,31514507,-1
denverantiques.com,1315144800000,1690268400000,23836,1508020860000,16,Antiques Etc,Shopping,CO,US,31514507,-1
denverantiques.com,1315144800000,1690268400000,23836,1570228860000,39,Antiques Etc,Shopping,CO,US,31514507,-1
denverantiques.com,1315144800000,1690268400000,23836,1679092860000,273,Antiques Etc,Shopping,CO,US,31514507,-1
denverantiques.com,1315144800000,1690268400000,23836,1689460860000,373,Antiques Etc,Shopping,CO,US,31514507,-1
denverantiques.com,1315144800000,1690268400000,23836,1690268400000,373,Antiques Etc,Shopping,CO,US,31514507,-1
mylesallen.com,1556838000000,1688022000000,0,1559024400000,0,,,,,100000001,0
mylesallen.com,1556838000000,1688022000000,0,1621232400000,117,,,,,100000001,0
mylesallen.com,1556838000000,1688022000000,0,1688022000000,0,,,,,100000001,0
sovereignty.co,1418857200000,1689490800000,78302,1423367760000,0,sovereignty.co Inc,Food And Drink,TX,US,12838136,709570
sovereignty.co,1418857200000,1689490800000,78302,1573703760000,31,sovereignty.co Inc,Food And Drink,TX,US,12838136,709570
sovereignty.co,1418857200000,1689490800000,78302,1584071760000,240,sovereignty.co Inc,Food And Drink,TX,US,12838136,709570
sovereignty.co,1418857200000,1689490800000,78302,1589255760000,347,sovereignty.co Inc,Food And Drink,TX,US,12838136,709570
sovereignty.co,1418857200000,1689490800000,78302,1594439760000,689,sovereignty.co Inc,Food And Drink,TX,US,12838136,709570
sovereignty.co,1418857200000,1689490800000,78302,1599623760000,1664,sovereignty.co Inc,Food And Drink,TX,US,12838136,709570
sovereignty.co,1418857200000,1689490800000,78302,1609991760000,1716,sovereignty.co Inc,Food And Drink,TX,US,12838136,709570
sovereignty.co,1418857200000,1689490800000,78302,1641095760000,799,sovereignty.co Inc,Food And Drink,TX,US,12838136,709570
sovereignty.co,1418857200000,1689490800000,78302,1667015760000,813,sovereignty.co Inc,Food And Drink,TX,US,12838136,709570
sovereignty.co,1418857200000,1689490800000,78302,1672199760000,452,sovereignty.co Inc,Food And Drink,TX,US,12838136,709570
sovereignty.co,1418857200000,1689490800000,78302,1682567760000,1313,sovereignty.co Inc,Food And Drink,TX,US,12838136,709570
sovereignty.co,1418857200000,1689490800000,78302,1687751760000,786,sovereignty.co Inc,Food And Drink,TX,US,12838136,709570
sovereignty.co,1418857200000,1689490800000,78302,1689490800000,1333,sovereignty.co Inc,Food And Drink,TX,US,12838136,709570
vonshay-emporium.ueniweb.com,1690864720189,0,0,0,0,,,,,0,0
oneandonlypromos.com,1634108400000,1688108400000,0,1635008400000,0,,Unknown,CA,US,100000001,-1
oneandonlypromos.com,1634108400000,1688108400000,0,1688108400000,0,,Unknown,CA,US,100000001,-1
simplyvirtualbookkeeping.com,1543791600000,1688626800000,0,1546205520000,14,,Business And Industrial,,,100000001,-1
simplyvirtualbookkeeping.com,1543791600000,1688626800000,0,1592861520000,30,,Business And Industrial,,,100000001,-1
simplyvirtualbookkeeping.com,1543791600000,1688626800000,0,1675805520000,650,,Business And Industrial,,,100000001,-1
simplyvirtualbookkeeping.com,1543791600000,1688626800000,0,1680989520000,397,,Business And Industrial,,,100000001,-1
simplyvirtualbookkeeping.com,1543791600000,1688626800000,0,1686173520000,455,,Business And Industrial,,,100000001,-1
simplyvirtualbookkeeping.com,1543791600000,1688626800000,0,1691357520000,0,,Business And Industrial,,,100000001,-1
simplyvirtualbookkeeping.com,1543791600000,1688626800000,0,1688626800000,708,,Business And Industrial,,,100000001,-1
warrenmichaelsdigitalmarketingagency.com,1600066800000,1689058800000,0,1601550000000,0,,,,,100000001,0
warrenmichaelsdigitalmarketingagency.com,1600066800000,1689058800000,0,1689058800000,0,,,,,100000001,0

preferredcg.com,1405296000000,1690614000000,0,1410051300000,0,Preferred Construction Group,Business And Industrial,MI,US,35562255,-1
preferredcg.com,1405296000000,1690614000000,0,1415235300000,103,Preferred Construction Group,Business And Industrial,MI,US,35562255,-1
